명칭,경도,위도
감천파출소,129.0005581,35.08440914
감포파출소,129.505941,35.80912733
강구파출소,129.390191,36.35919371
강동파출소,128.9189368,37.79362696
강릉파출소,128.951389,37.763097
강화파출소,126.380903,37.700698
거문파출소,127.3089592,34.02792782
거제남부파출소,128.5847473,34.71547335
거진파출소,128.4591056,38.44861486
고성파출소,128.321482,34.960177
고창파출소,126.4398511,35.44925536
고현파출소,128.6162438,34.89371332
광안리파출소,129.130192,35.15436316
광양파출소,127.695967,34.92356932
구룡포파출소,129.5542939,35.98920093
기장파출소,129.2417007,35.24303835
김포파출소,126.7869696,37.59765522
나로도파출소,127.4535675,34.46615055
낙산파출소,128.631162,38.116333
남항파출소,129.025326,35.092111
남해파출소,128.0457279,34.70817222
노량파출소,127.8633981,34.94884994
노화파출소,126.5663803,34.17718417
녹동파출소,127.1456803,34.52482958
다대파출소,128.9835121,35.06941971
당진파출소,126.5619235,37.02893785
대부파출소,126.6466116,37.1921207
대산파출소,126.4521431,37.0030796
대천파출소,126.5089547,36.32744391
대청파출소,124.7149645,37.82601607
대포파출소,128.607253,38.171366
돌산파출소,127.7208587,34.61391305
땅끝파출소,126.5278822,34.29897546
마량파출소,126.822196,34.44908599
마산파출소,128.5684421,35.1925101
명지파출소,128.9310233,35.10654748
모항파출소,126.1317119,36.77621749
묵호파출소,129.1173887,37.54785711
방어진파출소,129.4310449,35.48322894
백령파출소,124.73474,37.956398
변산파출소,126.4701039,35.62423463
봉산파출소,127.7213359,34.72630346
북항파출소,126.3655681,34.80432457
비응파출소,126.530791,35.938708
사천파출소,128.0727636,34.92669453
삼척파출소,129.192738,37.43792221
새만금파출소,126.4756018,35.82225376
서귀포파출소,126.5620133,33.23981988
서산파출소,126.3811405,34.7810276
성산파출소,126.9300867,33.47178795
속초파출소,128.59409,38.198593
송정파출소,129.2060871,35.17992478
신진파출소,126.1366353,36.67546803
신항광역파출소,128.7908259,35.09220186
신항만파출소,126.6879354,37.34527354
안면파출소,126.3155693,36.58562003
안산파출소,126.5767541,37.2928516
연평파출소,125.7005622,37.65897082
영광파출소,126.4073142,35.39131284
영도파출소,129.0817159,35.06990062
영일만파출소,129.4314306,36.11082715
영흥파출소,126.4982874,37.25491503
오천파출소,126.5181423,36.43858868
온산파출소,129.35386,35.44256
완도파출소,126.7618374,34.31616722
울릉파출소,130.9097416,37.49478632
울산항파출소,129.3866948,35.50464507
위도파출소,126.3029989,35.61715884
인항파출소,126.603253,37.457003
임원파출소,129.3434326,37.22989777
장승포파출소,128.7284668,34.86744099
장항파출소,126.69525,36.007575
정서진파출소,126.6082664,37.55891696
제주파출소,126.528153,33.51722505
주문진파출소,128.8318881,37.89483674
죽변파출소,129.4241722,37.05456534
지도파출소,126.2036706,35.04309085
진도파출소,126.1360222,34.36683464
진하파출소,129.344162,35.389325
진해파출소,128.6693126,35.14396615
추자파출소,126.3243981,33.94124084
축산파출소,129.4479515,36.50995566
통영파출소,128.4185314,34.83997989
평택파출소,126.8448193,36.96200299
포항파출소,129.370986,36.04392562
하늘바다파출소,126.425424,37.422077
학암포파출소,126.2061746,36.90192652
한강파출소,126.917802,37.535045
한림파출소,126.2625193,33.41930793
해망파출소,126.7105614,35.99275195
호미곶파출소,129.563751,36.07849876
홍성파출소,126.4720359,36.53935194
홍원파출소,126.4994499,36.15899309
화순파출소,126.337039,33.23776
회진파출소,126.9381079,34.48032375
후포파출소,129.4536787,36.68067936
흑산파출소,125.44224,34.68415
