지방청,담당서,남성,여성,10대미만,10대,20대,30대,40대,50대,60대,70대,80대,90대,100대이상
중부,인천,1,0,0,0,0,0,1,0,0,0,0,0,0
중부,평택,2,0,0,0,0,0,1,1,0,0,0,0,0
중부,태안,12,2,0,0,0,0,3,5,4,2,0,0,0
중부,보령,2,1,0,0,0,0,0,0,2,1,0,0,0
서해,완도,1,2,0,0,0,0,0,0,1,1,1,0,0
서해,목포,4,3,0,0,0,0,0,1,2,2,2,0,0
서해,군산,0,0,0,0,0,0,0,0,0,0,0,0,0
서해,여수,6,3,0,1,2,0,2,1,1,2,0,0,0
서해,부안,2,0,0,0,0,0,0,2,0,0,0,0,0
남해,울산,2,1,0,0,2,0,0,0,0,0,1,0,0
남해,부산,9,0,0,2,2,1,1,0,2,1,0,0,0
남해,창원,8,0,0,0,0,1,2,2,1,1,1,0,0
남해,통영,11,2,0,0,0,0,1,5,6,1,0,0,0
동해,속초,5,3,1,0,2,0,1,1,1,1,1,0,0
동해,동해,12,1,0,0,1,2,1,4,4,1,0,0,0
동해,포항,2,3,0,1,0,0,0,1,0,2,1,0,0
동해,울진,5,2,0,0,0,0,1,1,1,4,0,0,0
제주,제주,5,4,1,0,0,0,1,2,2,1,2,0,0
제주,서귀포,9,6,0,0,3,0,1,2,4,2,3,0,0
