광역시도,남성,여성,10대미만,10대,20대,30대,40대,50대,60대,70대,80대,90대,100대이상
강원도,14,4,1,0,3,3,2,3,3,2,1,0,0
경기도,2,0,0,0,0,0,1,1,0,0,0,0,0
경상남도,16,2,0,0,0,1,4,6,6,1,0,0,0
경상북도,9,6,0,1,0,0,1,3,3,6,1,0,0
광주광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
대구광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
대전광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,7,0,0,2,2,1,0,0,1,1,0,0,0
서울특별시,0,0,0,0,0,0,0,0,0,0,0,0,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0
울산광역시,2,1,0,0,2,0,0,0,0,0,1,0,0
인천광역시,1,0,0,0,0,0,1,0,0,0,0,0,0
전라남도,10,8,0,1,2,0,1,2,4,5,3,0,0
전라북도,2,0,0,0,0,0,0,2,0,0,0,0,0
제주특별자치도,13,8,1,0,3,0,2,4,5,2,4,0,0
충청남도,14,3,0,0,0,0,3,5,6,3,0,0,0
충청북도,0,0,0,0,0,0,0,0,0,0,0,0,0
